"action_type","lat","lon","playoffs","season","shot_distance","shot_made_flag","shot_type","opponent","attendance","arena_temp","avgnoisedb","time_remaining_period","game_time"
"Jump Shot",33.9863,-118.1058,0,"2005",17,0,"2PT Field Goal","BOS",14365,69,97.39,407,1753
"Layup Shot",34.0393,-118.2848,0,"2005",1,0,"2PT Field Goal","BOS",14365,69,97.39,338,1822
"Fadeaway Jump Shot",33.9043,-118.3748,0,"2005",17,1,"2PT Field Goal","BOS",14365,69,97.39,188,1972
"Turnaround Jump Shot",34.0213,-118.0928,0,"2005",17,1,"2PT Field Goal","BOS",14365,69,97.39,644,2236
"Jump Shot",33.9633,-118.4148,0,"2005",16,1,"2PT Field Goal","BOS",14365,69,97.39,549,2331
"Jump Shot",33.9783,-118.1088,0,"2005",17,0,"2PT Field Goal","BOS",14365,69,97.39,505,2375
"Jump Shot",34.0313,-118.0808,0,"2005",18,0,"2PT Field Goal","BOS",14365,69,97.39,449,2431
"Turnaround Jump Shot",33.8433,-118.2698,0,"2005",20,1,"2PT Field Goal","BOS",14365,69,97.39,395,2485
"Layup Shot",34.0343,-118.2548,0,"2005",1,0,"2PT Field Goal","BOS",14365,69,97.39,356,2524
"Jump Shot",33.9373,-118.1138,0,"2005",18,1,"2PT Field Goal","BOS",14365,69,97.39,231,2649
"Jump Shot",33.8833,-118.1238,0,"2005",21,1,"2PT Field Goal","BOS",14365,69,97.39,135,2745
"Jump Shot",33.9123,-118.4418,0,"2005",21,0,"2PT Field Goal","BOS",14365,69,97.39,106,2774
"Driving Layup Shot",34.0313,-118.2798,0,"2005",1,1,"2PT Field Goal","BOS",14365,69,97.39,80,2800
"Driving Finger Roll Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","SAC",13555,70,90.36,485,235
"Driving Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","SAC",13555,70,90.36,361,359
"Running Jump Shot",33.9983,-118.3058,0,"2005",5,1,"2PT Field Goal","SAC",13555,70,90.36,132,588
"Running Jump Shot",34.0523,-118.0888,0,"2005",18,1,"2PT Field Goal","SAC",13555,70,90.36,4,716
"Jump Shot",33.8893,-118.2648,0,"2005",15,0,"2PT Field Goal","SAC",13555,70,90.36,135,1305
"Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","SAC",13555,70,90.36,72,1368
"Jump Shot",33.9323,-118.0398,0,"2005",25,1,"3PT Field Goal","SAC",13555,70,90.36,1,1439
"Jump Shot",33.8633,-118.0878,0,"2005",25,1,"3PT Field Goal","SAC",13555,70,90.36,523,1637
"Jump Shot",33.9703,-118.0338,0,"2005",24,0,"3PT Field Goal","SAC",13555,70,90.36,461,1699
"Jump Shot",33.9523,-118.2258,0,"2005",10,0,"2PT Field Goal","SAC",13555,70,90.36,345,2535
"Jump Shot",33.8703,-118.3868,0,"2005",20,1,"2PT Field Goal","SAC",13555,70,90.36,179,2701
"Jump Shot",33.9193,-118.2038,0,"2005",14,0,"2PT Field Goal","SAC",13555,70,90.36,84,2796
"Driving Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","SAC",13555,70,90.36,42,2838
"Jump Shot",34.0063,-118.4258,0,"2005",16,1,"2PT Field Goal","SAC",13555,70,90.36,40,2840
"Jump Shot",33.7963,-118.3728,0,"2005",26,1,"3PT Field Goal","MIL",14861,73,93.33,577,143
"Jump Shot",33.8323,-118.4378,0,"2005",27,1,"3PT Field Goal","MIL",14861,73,93.33,548,172
"Jump Shot",33.9903,-118.2588,0,"2005",5,0,"2PT Field Goal","MIL",14861,73,93.33,516,204
"Jump Shot",33.8303,-118.1298,0,"2005",25,1,"3PT Field Goal","MIL",14861,73,93.33,434,286
"Jump Shot",33.7843,-118.2568,0,"2005",26,0,"3PT Field Goal","MIL",14861,73,93.33,263,457
"Jump Shot",33.8303,-118.3948,0,"2005",24,1,"3PT Field Goal","MIL",14861,73,93.33,178,542
"Jump Shot",33.8483,-118.3338,0,"2005",20,1,"2PT Field Goal","MIL",14861,73,93.33,87,633
"Running Jump Shot",33.7863,-118.3768,0,"2005",27,1,"3PT Field Goal","MIL",14861,73,93.33,43,677
"Jump Shot",33.7993,-118.1748,0,"2005",26,0,"3PT Field Goal","MIL",14861,73,93.33,11,709
"Jump Shot",33.7963,-118.1898,0,"2005",26,0,"3PT Field Goal","MIL",14861,73,93.33,350,1090
"Jump Shot",34.0113,-118.3898,0,"2005",12,0,"2PT Field Goal","MIL",14861,73,93.33,245,1195
"Turnaround Jump Shot",33.9623,-118.1398,0,"2005",15,1,"2PT Field Goal","MIL",14861,73,93.33,178,1262
"Jump Shot",33.9073,-118.1498,0,"2005",18,0,"2PT Field Goal","MIL",14861,73,93.33,94,1346
"Driving Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","MIL",14861,73,93.33,58,1382
"Jump Shot",33.7923,-118.1668,0,"2005",27,0,"3PT Field Goal","MIL",14861,73,93.33,2,1438
"Jump Shot",33.9523,-118.3258,0,"2005",10,0,"2PT Field Goal","MIL",14861,73,93.33,690,1470
"Reverse Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","MIL",14861,73,93.33,556,1604
"Jump Shot",34.0523,-118.1168,0,"2005",15,0,"2PT Field Goal","MIL",14861,73,93.33,191,1969
"Fadeaway Jump Shot",34.0223,-118.0938,0,"2005",17,1,"2PT Field Goal","MIL",14861,73,93.33,700,2180
"Jump Shot",33.7993,-118.3648,0,"2005",26,0,"3PT Field Goal","MIL",14861,73,93.33,533,2347
"Jump Shot",33.8893,-118.1778,0,"2005",18,0,"2PT Field Goal","MIL",14861,73,93.33,457,2423
"Jump Shot",33.8813,-118.3998,0,"2005",20,0,"2PT Field Goal","MIL",14861,73,93.33,332,2548
"Jump Shot",34.0343,-118.1038,0,"2005",16,0,"2PT Field Goal","MIL",14861,73,93.33,158,2722
"Fadeaway Jump Shot",34.0343,-118.0658,0,"2005",20,0,"2PT Field Goal","MIL",14861,73,93.33,60,2820
"Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","NOP",15429,70,93.87,378,342
"Turnaround Jump Shot",34.0223,-118.0648,0,"2005",20,1,"2PT Field Goal","NOP",15429,70,93.87,279,441
"Jump Shot",34.0163,-118.4518,0,"2005",18,1,"2PT Field Goal","NOP",15429,70,93.87,244,476
"Jump Shot",34.0313,-118.0858,0,"2005",18,0,"2PT Field Goal","NOP",15429,70,93.87,10,710
"Running Jump Shot",33.9953,-118.2698,0,"2005",4,1,"2PT Field Goal","NOP",15429,70,93.87,562,878
"Driving Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","NOP",15429,70,93.87,540,900
"Jump Shot",33.8613,-118.4588,0,"2005",26,1,"3PT Field Goal","NOP",15429,70,93.87,240,1200
"Driving Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","NOP",15429,70,93.87,112,1328
"Jump Shot",33.8423,-118.4608,0,"2005",27,0,"3PT Field Goal","NOP",15429,70,93.87,577,1583
"Jump Shot",33.8863,-118.1898,0,"2005",17,1,"2PT Field Goal","NOP",15429,70,93.87,477,1683
"Jump Shot",33.9853,-118.4718,0,"2005",21,1,"2PT Field Goal","NOP",15429,70,93.87,287,1873
"Jump Shot",33.9263,-118.1628,0,"2005",15,0,"2PT Field Goal","NOP",15429,70,93.87,226,1934
"Running Jump Shot",34.0313,-118.3078,0,"2005",4,1,"2PT Field Goal","NOP",15429,70,93.87,659,2221
"Jump Shot",33.9933,-118.1528,0,"2005",12,0,"2PT Field Goal","NOP",15429,70,93.87,572,2308
"Jump Shot",33.8803,-118.1388,0,"2005",20,0,"2PT Field Goal","NOP",15429,70,93.87,94,2786
"Jump Bank Shot",33.9953,-118.2258,0,"2005",6,1,"2PT Field Goal","SAS",15641,70,100.06,666,54
"Jump Shot",33.9113,-118.2358,0,"2005",13,0,"2PT Field Goal","SAS",15641,70,100.06,254,466
"Jump Shot",33.8253,-118.4228,0,"2005",26,0,"3PT Field Goal","SAS",15641,70,100.06,166,554
"Running Jump Shot",33.9503,-118.2988,0,"2005",9,1,"2PT Field Goal","SAS",15641,70,100.06,67,653
"Running Jump Shot",34.0473,-118.3848,0,"2005",11,1,"2PT Field Goal","SAS",15641,70,100.06,36,684
"Jump Shot",33.8883,-118.2598,0,"2005",15,0,"2PT Field Goal","SAS",15641,70,100.06,3,717
"Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","SAS",15641,70,100.06,574,866
"Jump Shot",33.8653,-118.3568,0,"2005",19,0,"2PT Field Goal","SAS",15641,70,100.06,290,1150
"Jump Shot",34.0493,-118.0298,0,"2005",24,0,"3PT Field Goal","SAS",15641,70,100.06,636,1524
"Running Jump Shot",33.9633,-118.3108,0,"2005",9,1,"2PT Field Goal","SAS",15641,70,100.06,454,1706
"Jump Shot",33.8553,-118.3208,0,"2005",19,1,"2PT Field Goal","SAS",15641,70,100.06,422,1738
"Jump Shot",33.8683,-118.4418,0,"2005",24,0,"3PT Field Goal","SAS",15641,70,100.06,288,1872
"Jump Shot",33.9723,-118.4668,0,"2005",20,0,"2PT Field Goal","SAS",15641,70,100.06,136,2024
"Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","SAS",15641,70,100.06,107,2053
"Jump Shot",33.4653,-118.1138,0,"2005",59,0,"3PT Field Goal","SAS",15641,70,100.06,0,2160
"Jump Shot",33.8173,-118.1218,0,"2005",27,0,"3PT Field Goal","SAS",15641,70,100.06,255,2625
"Jump Shot",33.7923,-118.3408,0,"2005",26,0,"3PT Field Goal","SAS",15641,70,100.06,203,2677
"Jump Shot",33.8343,-118.2748,0,"2005",21,0,"2PT Field Goal","SEA",15955,68,94.38,661,59
"Jump Shot",34.0453,-118.1168,0,"2005",15,0,"2PT Field Goal","SEA",15955,68,94.38,573,147
"Jump Shot",33.9193,-118.1898,0,"2005",14,1,"2PT Field Goal","SEA",15955,68,94.38,567,153
"Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","SEA",15955,68,94.38,461,259
"Turnaround Jump Shot",34.0343,-118.1628,0,"2005",10,1,"2PT Field Goal","SEA",15955,68,94.38,360,360
"Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","SEA",15955,68,94.38,225,495
"Fadeaway Jump Shot",33.9523,-118.3878,0,"2005",14,1,"2PT Field Goal","SEA",15955,68,94.38,200,520
"Jump Shot",33.8943,-118.4308,0,"2005",22,0,"2PT Field Goal","SEA",15955,68,94.38,161,559
"Jump Shot",34.0473,-118.3798,0,"2005",11,1,"2PT Field Goal","SEA",15955,68,94.38,135,585
"Jump Shot",33.9393,-118.1578,0,"2005",15,0,"2PT Field Goal","SEA",15955,68,94.38,710,730
"Reverse Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","SEA",15955,68,94.38,685,755
"Jump Shot",33.8383,-118.4438,0,"2005",26,1,"3PT Field Goal","SEA",15955,68,94.38,586,854
"Jump Shot",33.9303,-118.4558,0,"2005",21,0,"2PT Field Goal","SEA",15955,68,94.38,489,951
"Jump Shot",33.8883,-118.1438,0,"2005",20,1,"2PT Field Goal","SEA",15955,68,94.38,461,979
"Jump Shot",33.9443,-118.1218,0,"2005",17,0,"2PT Field Goal","SEA",15955,68,94.38,425,1015
"Jump Shot",33.8703,-118.0958,0,"2005",24,0,"3PT Field Goal","SEA",15955,68,94.38,296,1144
"Jump Shot",33.9623,-118.4028,0,"2005",15,0,"2PT Field Goal","SEA",15955,68,94.38,150,1290
"Jump Shot",33.9273,-118.1398,0,"2005",17,1,"2PT Field Goal","SEA",15955,68,94.38,73,1367
"Jump Shot",33.8843,-118.0748,0,"2005",25,0,"3PT Field Goal","SEA",15955,68,94.38,683,1477
"Reverse Dunk Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","SEA",15955,68,94.38,550,1610
"Jump Shot",33.9073,-118.3978,0,"2005",18,1,"2PT Field Goal","SEA",15955,68,94.38,479,1681
"Jump Shot",33.9813,-118.1848,0,"2005",10,0,"2PT Field Goal","SEA",15955,68,94.38,389,1771
"Jump Shot",33.8753,-118.1568,0,"2005",20,1,"2PT Field Goal","SEA",15955,68,94.38,212,1948
"Jump Shot",34.0043,-118.3978,0,"2005",13,1,"2PT Field Goal","SEA",15955,68,94.38,182,1978
"Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","SEA",15955,68,94.38,160,2000
"Jump Shot",33.8663,-118.1518,0,"2005",21,0,"2PT Field Goal","SEA",15955,68,94.38,57,2103
"Reverse Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","SEA",15955,68,94.38,0,2160
"Jump Shot",34.0273,-118.1388,0,"2005",13,1,"2PT Field Goal","SEA",15955,68,94.38,688,2192
"Jump Shot",33.8733,-118.1678,0,"2005",19,0,"2PT Field Goal","SEA",15955,68,94.38,615,2265
"Jump Shot",33.9993,-118.1418,0,"2005",13,0,"2PT Field Goal","SEA",15955,68,94.38,420,2460
"Jump Shot",33.9803,-118.2858,0,"2005",6,0,"2PT Field Goal","SEA",15955,68,94.38,400,2480
"Jump Shot",34.0503,-118.1388,0,"2005",13,0,"2PT Field Goal","SEA",15955,68,94.38,365,2515
"Jump Shot",33.9493,-118.3928,0,"2005",15,1,"2PT Field Goal","SEA",15955,68,94.38,259,2621
"Jump Shot",33.8433,-118.4458,0,"2005",26,0,"3PT Field Goal","SEA",15955,68,94.38,139,2741
"Jump Shot",33.8843,-118.3178,0,"2005",16,0,"2PT Field Goal","SEA",15955,68,94.38,62,2818
"Jump Shot",34.0493,-118.0698,0,"2005",20,0,"2PT Field Goal","HOU",16366,71,93.6,670,50
"Reverse Dunk Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","HOU",16366,71,93.6,610,110
"Jump Shot",34.0183,-118.0648,0,"2005",20,1,"2PT Field Goal","HOU",16366,71,93.6,476,244
"Jump Shot",34.0523,-118.0908,0,"2005",17,1,"2PT Field Goal","HOU",16366,71,93.6,147,573
"Jump Shot",33.9213,-118.1598,0,"2005",16,0,"2PT Field Goal","HOU",16366,71,93.6,39,681
"Jump Shot",34.0453,-118.1268,0,"2005",14,0,"2PT Field Goal","HOU",16366,71,93.6,258,1182
"Jump Shot",33.9723,-118.1578,0,"2005",13,1,"2PT Field Goal","HOU",16366,71,93.6,82,1358
"Jump Shot",33.8503,-118.1828,0,"2005",21,1,"2PT Field Goal","HOU",16366,71,93.6,25,1415
"Jump Shot",34.0533,-118.4098,0,"2005",14,1,"2PT Field Goal","HOU",16366,71,93.6,699,1461
"Jump Shot",33.9243,-118.1898,0,"2005",14,1,"2PT Field Goal","HOU",16366,71,93.6,672,1488
"Jump Shot",34.0373,-118.0988,0,"2005",17,0,"2PT Field Goal","HOU",16366,71,93.6,643,1517
"Jump Shot",34.0443,-118.4278,0,"2005",15,1,"2PT Field Goal","HOU",16366,71,93.6,615,1545
"Jump Shot",33.7973,-118.1468,0,"2005",27,1,"3PT Field Goal","HOU",16366,71,93.6,573,1587
"Jump Shot",33.8173,-118.2548,0,"2005",22,1,"2PT Field Goal","HOU",16366,71,93.6,476,1684
"Jump Shot",33.8153,-118.2688,0,"2005",22,1,"2PT Field Goal","HOU",16366,71,93.6,443,1717
"Jump Shot",33.9033,-118.1598,0,"2005",17,1,"2PT Field Goal","HOU",16366,71,93.6,407,1753
"Jump Shot",34.0343,-118.1118,0,"2005",15,0,"2PT Field Goal","HOU",16366,71,93.6,232,1928
"Jump Shot",34.0143,-118.0888,0,"2005",18,0,"2PT Field Goal","HOU",16366,71,93.6,126,2034
"Jump Shot",33.8273,-118.4228,0,"2005",26,0,"3PT Field Goal","HOU",16366,71,93.6,85,2075
"Fadeaway Jump Shot",33.8703,-118.2188,0,"2005",18,1,"2PT Field Goal","HOU",16366,71,93.6,454,2426
"Jump Shot",33.9263,-118.1088,0,"2005",19,0,"2PT Field Goal","HOU",16366,71,93.6,403,2477
"Jump Shot",33.9723,-118.4458,0,"2005",19,0,"2PT Field Goal","HOU",16366,71,93.6,333,2547
"Jump Shot",33.7913,-118.1678,0,"2005",27,0,"3PT Field Goal","HOU",16366,71,93.6,285,2595
"Fadeaway Jump Shot",33.9803,-118.1158,0,"2005",16,1,"2PT Field Goal","DEN",14830,71,92.08,647,73
"Jump Shot",33.9783,-118.0938,0,"2005",18,0,"2PT Field Goal","DEN",14830,71,92.08,541,179
"Turnaround Jump Shot",34.0043,-118.0988,0,"2005",17,1,"2PT Field Goal","DEN",14830,71,92.08,532,188
"Jump Shot",34.0363,-118.4968,0,"2005",22,0,"3PT Field Goal","DEN",14830,71,92.08,308,412
"Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","DEN",14830,71,92.08,139,581
"Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","DEN",14830,71,92.08,136,584
"Reverse Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","DEN",14830,71,92.08,51,669
"Jump Shot",33.9273,-118.0598,0,"2005",24,0,"3PT Field Goal","DEN",14830,71,92.08,2,718
"Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","DEN",14830,71,92.08,469,971
"Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","DEN",14830,71,92.08,411,1029
"Fadeaway Jump Shot",33.9933,-118.4278,0,"2005",16,0,"2PT Field Goal","DEN",14830,71,92.08,297,1143
"Slam Dunk Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","DEN",14830,71,92.08,124,1316
"Jump Shot",33.8633,-118.0938,0,"2005",25,0,"3PT Field Goal","DEN",14830,71,92.08,82,1358
"Jump Shot",33.9163,-118.1338,0,"2005",18,1,"2PT Field Goal","DEN",14830,71,92.08,630,1530
"Driving Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","DEN",14830,71,92.08,538,1622
"Driving Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","DEN",14830,71,92.08,232,1928
"Jump Shot",33.8893,-118.4568,0,"2005",24,1,"3PT Field Goal","DEN",14830,71,92.08,130,2030
"Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","DEN",14830,71,92.08,56,2104
"Jump Shot",33.9703,-118.4098,0,"2005",15,0,"2PT Field Goal","DEN",14830,71,92.08,32,2128
"Jump Shot",33.8683,-118.4458,0,"2005",24,0,"3PT Field Goal","DEN",14830,71,92.08,361,2519
"Jump Shot",33.9423,-118.4948,0,"2005",24,1,"3PT Field Goal","DEN",14830,71,92.08,357,2523
"Jump Shot",34.0313,-118.1038,0,"2005",16,0,"2PT Field Goal","DEN",14830,71,92.08,117,2763
"Jump Shot",33.8223,-118.1628,0,"2005",24,1,"3PT Field Goal","DEN",14830,71,92.08,74,2806
"Jump Shot",33.9703,-118.4748,0,"2005",21,0,"2PT Field Goal","DEN",14830,71,92.08,0,2880
"Driving Dunk Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","DEN",14830,71,92.08,258,3342
"Jump Shot",33.9883,-118.4618,0,"2005",20,0,"2PT Field Goal","DEN",14830,71,92.08,171,3429
"Jump Shot",34.0393,-118.4668,0,"2005",19,0,"2PT Field Goal","DEN",14830,71,92.08,23,3577
"Jump Shot",33.9063,-118.1258,0,"2005",19,1,"2PT Field Goal","PHX",15383,74,97.44,666,54
"Jump Shot",34.0393,-118.1028,0,"2005",16,0,"2PT Field Goal","PHX",15383,74,97.44,571,149
"Jump Shot",33.8603,-118.4798,0,"2005",27,1,"3PT Field Goal","PHX",15383,74,97.44,495,225
"Jump Shot",33.9493,-118.4518,0,"2005",20,1,"2PT Field Goal","PHX",15383,74,97.44,383,337
"Jump Shot",33.9293,-118.1108,0,"2005",19,0,"2PT Field Goal","PHX",15383,74,97.44,288,432
"Jump Shot",33.8913,-118.4648,0,"2005",24,1,"3PT Field Goal","PHX",15383,74,97.44,226,494
"Fadeaway Jump Shot",33.9323,-118.1368,0,"2005",17,1,"2PT Field Goal","PHX",15383,74,97.44,79,641
"Driving Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","PHX",15383,74,97.44,60,660
"Jump Shot",33.9353,-118.4278,0,"2005",19,1,"2PT Field Goal","PHX",15383,74,97.44,489,951
"Jump Shot",33.9063,-118.4718,0,"2005",24,0,"3PT Field Goal","PHX",15383,74,97.44,427,1013
"Turnaround Jump Shot",33.9503,-118.1108,0,"2005",18,0,"2PT Field Goal","PHX",15383,74,97.44,400,1040
"Jump Shot",33.8093,-118.4308,0,"2005",28,1,"3PT Field Goal","PHX",15383,74,97.44,249,1191
"Jump Shot",33.9913,-118.1118,0,"2005",16,0,"2PT Field Goal","PHX",15383,74,97.44,205,1235
"Jump Shot",33.8023,-118.2038,0,"2005",25,0,"3PT Field Goal","PHX",15383,74,97.44,124,1316
"Jump Shot",33.9343,-118.2038,0,"2005",12,1,"2PT Field Goal","PHX",15383,74,97.44,38,1402
"Jump Shot",33.8893,-118.4798,0,"2005",26,1,"3PT Field Goal","PHX",15383,74,97.44,594,1566
"Turnaround Jump Shot",33.8983,-118.3848,0,"2005",18,1,"2PT Field Goal","PHX",15383,74,97.44,493,1667
"Jump Shot",33.9063,-118.4768,0,"2005",24,1,"3PT Field Goal","PHX",15383,74,97.44,455,1705
"Jump Shot",33.9073,-118.0578,0,"2005",25,0,"3PT Field Goal","PHX",15383,74,97.44,343,1817
"Turnaround Jump Shot",33.9553,-118.4228,0,"2005",17,0,"2PT Field Goal","PHX",15383,74,97.44,447,2433
"Jump Shot",33.8613,-118.4388,0,"2005",24,0,"3PT Field Goal","PHX",15383,74,97.44,412,2468
"Driving Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","PHX",15383,74,97.44,383,2497
"Dunk Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","PHX",15383,74,97.44,264,2616
"Reverse Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","PHX",15383,74,97.44,175,2705
"Jump Shot",33.7963,-118.3218,0,"2005",25,0,"3PT Field Goal","PHX",15383,74,97.44,143,2737
"Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","PHX",15383,74,97.44,114,2766
"Jump Shot",33.9803,-118.1038,0,"2005",17,0,"2PT Field Goal","LAC",17113,71,93.89,487,233
"Jump Shot",33.9783,-118.0978,0,"2005",18,0,"2PT Field Goal","LAC",17113,71,93.89,334,386
"Running Jump Shot",34.0033,-118.2318,0,"2005",5,1,"2PT Field Goal","LAC",17113,71,93.89,707,733
"Reverse Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","LAC",17113,71,93.89,673,767
"Jump Shot",33.8373,-118.2228,0,"2005",21,1,"2PT Field Goal","LAC",17113,71,93.89,626,814
"Jump Shot",34.0443,-118.4668,0,"2005",19,0,"2PT Field Goal","LAC",17113,71,93.89,528,912
"Jump Shot",33.8993,-118.3408,0,"2005",16,1,"2PT Field Goal","LAC",17113,71,93.89,465,975
"Jump Shot",33.8613,-118.1448,0,"2005",22,1,"2PT Field Goal","LAC",17113,71,93.89,297,1143
"Turnaround Jump Shot",34.0623,-118.1158,0,"2005",15,1,"2PT Field Goal","LAC",17113,71,93.89,251,1189
"Driving Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","LAC",17113,71,93.89,65,1375
"Running Jump Shot",33.7233,-118.4648,0,"2005",37,0,"3PT Field Goal","LAC",17113,71,93.89,0,1440
"Turnaround Jump Shot",34.0423,-118.1398,0,"2005",13,0,"2PT Field Goal","LAC",17113,71,93.89,702,1458
"Jump Shot",34.0013,-118.2518,0,"2005",4,0,"2PT Field Goal","LAC",17113,71,93.89,670,1490
"Jump Shot",33.8763,-118.4058,0,"2005",21,1,"2PT Field Goal","LAC",17113,71,93.89,469,1691
"Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","LAC",17113,71,93.89,403,1757
"Slam Dunk Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","LAC",17113,71,93.89,112,2048
"Jump Shot",33.8123,-118.1678,0,"2005",25,0,"3PT Field Goal","LAC",17113,71,93.89,19,2141
"Driving Finger Roll Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","LAC",17113,71,93.89,392,2488
"Jump Shot",33.8093,-118.1758,0,"2005",25,1,"3PT Field Goal","LAC",17113,71,93.89,348,2532
"Jump Shot",33.7923,-118.2778,0,"2005",25,0,"3PT Field Goal","LAC",17113,71,93.89,281,2599
"Jump Shot",33.8153,-118.1668,0,"2005",25,0,"3PT Field Goal","LAC",17113,71,93.89,133,2747
"Jump Shot",33.8173,-118.1348,0,"2005",26,1,"3PT Field Goal","LAC",17113,71,93.89,95,2785
"Jump Shot",34.0223,-118.2158,0,"2005",5,0,"2PT Field Goal","GSW",14696,73,96.87,477,243
"Jump Shot",33.9073,-118.1848,0,"2005",16,1,"2PT Field Goal","GSW",14696,73,96.87,455,265
"Jump Shot",33.8343,-118.0958,0,"2005",27,0,"3PT Field Goal","GSW",14696,73,96.87,397,323
"Slam Dunk Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","GSW",14696,73,96.87,210,510
"Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","GSW",14696,73,96.87,141,579
"Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","GSW",14696,73,96.87,708,732
"Turnaround Jump Shot",33.8803,-118.3718,0,"2005",19,1,"2PT Field Goal","GSW",14696,73,96.87,558,882
"Jump Shot",33.8273,-118.3948,0,"2005",25,1,"3PT Field Goal","GSW",14696,73,96.87,528,912
"Jump Shot",33.8913,-118.1208,0,"2005",21,0,"2PT Field Goal","GSW",14696,73,96.87,489,951
"Jump Shot",34.0273,-118.0218,0,"2005",24,0,"3PT Field Goal","GSW",14696,73,96.87,484,956
"Turnaround Jump Shot",33.8663,-118.3818,0,"2005",21,1,"2PT Field Goal","GSW",14696,73,96.87,419,1021
"Jump Shot",33.9143,-118.3208,0,"2005",13,0,"2PT Field Goal","GSW",14696,73,96.87,113,1327
"Jump Shot",33.7973,-118.1338,0,"2005",28,1,"3PT Field Goal","GSW",14696,73,96.87,30,1410
"Driving Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","GSW",14696,73,96.87,0,1440
"Jump Shot",33.7733,-118.2128,0,"2005",27,0,"3PT Field Goal","GSW",14696,73,96.87,479,1681
"Jump Shot",33.7943,-118.1698,0,"2005",26,0,"3PT Field Goal","GSW",14696,73,96.87,632,2248
"Jump Shot",33.8223,-118.3388,0,"2005",23,1,"2PT Field Goal","POR",13929,68,91.26,529,191
"Jump Shot",33.9353,-118.2598,0,"2005",10,1,"2PT Field Goal","POR",13929,68,91.26,393,327
"Running Jump Shot",33.9653,-118.2268,0,"2005",8,1,"2PT Field Goal","POR",13929,68,91.26,139,581
"Jump Shot",33.8433,-118.1368,0,"2005",24,1,"3PT Field Goal","POR",13929,68,91.26,35,685
"Jump Shot",33.8473,-118.4338,0,"2005",25,0,"3PT Field Goal","POR",13929,68,91.26,594,846
"Jump Shot",33.8933,-118.4158,0,"2005",21,0,"2PT Field Goal","POR",13929,68,91.26,341,1099
"Reverse Layup Shot",34.0443,-118.2698,0,"2005",0,0,"2PT Field Goal","POR",13929,68,91.26,305,1135
"Driving Layup Shot",34.0443,-118.2698,0,"2005",0,1,"2PT Field Goal","POR",13929,68,91.26,231,1209
"Jump Shot",33.9733,-118.2368,0,"2005",7,0,"2PT Field Goal","POR",13929,68,91.26,88,1352
