action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,attendance,arena_temp,avgnoisedb,rannum,action_type_int,combined_shot_type_int,shot_type_int,shot_zone_are_int,shot_zone_basic_int,shot_zone_range_int,opponent_int,time_remaining_period,game_time,log_lat,log_shot_distance,log_loc_y,season,Obs,shot_not_made_probability,shot_made_probability,_INTO_
Driving Layup Shot,Layup,350,20200790,34.0443,0,0,-118.2698,11,4,0,47,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/21/2003,LAL vs. POR,POR,4391,17262,67,98.32,4384,12,5,1,2,6,5,26,707,2173,3.5276626177,-6.907755279,3.8066624898,2002,3684,0.3276507006,0.6723492994,1
Jump Shot,Jump Shot,370,20200790,33.8783,-48,166,-118.3178,9,4,0,44,17,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/21/2003,LAL vs. POR,POR,4393,17262,67,98.32,4386,26,4,1,2,5,1,26,584,2296,3.5227746914,2.8332721659,5.3518581335,2002,3686,0.558576966,0.441423034,0
Jump Shot,Jump Shot,437,20200790,33.9623,232,82,-118.0378,4,4,0,16,24,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2/21/2003,LAL vs. POR,POR,4395,17262,67,98.32,4388,26,4,2,6,7,2,26,256,2624,3.5252510859,3.1780954961,4.8441870865,2002,3688,0.6108898193,0.3891101807,0
Jump Shot,Jump Shot,452,20200790,33.8143,80,230,-118.1898,2,4,0,43,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/21/2003,LAL vs. POR,POR,4397,17262,67,98.32,4390,26,4,2,5,1,2,26,163,2717,3.5208837899,3.1780954961,5.6167710977,2002,3690,0.6461216914,0.3538783086,0
Running Jump Shot,Jump Shot,483,20200790,34.0183,-163,26,-118.4328,0,4,0,9,16,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/21/2003,LAL vs. POR,POR,4399,17262,67,98.32,4392,41,4,1,4,5,1,26,9,2871,3.5268986151,2.7726512203,4.262679877,2002,3692,0.5838575808,0.4161424192,0
Running Jump Shot,Jump Shot,17,20200806,33.9603,75,84,-118.1948,9,1,0,41,11,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2/23/2003,LAL vs. SEA,SEA,4401,15404,72,91.14,4401,41,4,1,6,3,3,29,581,139,3.5251921953,2.3979861778,4.8598124044,2002,3694,0.4281565451,0.5718434549,1
Jump Shot,Jump Shot,28,20200806,33.9353,227,109,-118.0428,8,1,0,19,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/23/2003,LAL vs. SEA,SEA,4403,15404,72,91.14,4403,26,4,2,5,1,2,29,499,221,3.5244557705,3.2189158241,5.0369526024,2002,3696,0.5436663171,0.4563336829,0
Layup Shot,Layup,103,20200806,34.0443,0,0,-118.2698,0,1,0,58,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/23/2003,LAL vs. SEA,SEA,4405,15404,72,91.14,4405,27,5,1,2,6,5,29,58,662,3.5276626177,-6.907755279,3.8066624898,2002,3698,0.2881788355,0.7118211645,1
Turnaround Jump Sho,Jump Shot,176,20200806,34.0313,131,13,-118.1388,6,2,0,8,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/23/2003,LAL vs. SEA,SEA,4411,15404,72,91.14,4407,55,4,1,6,5,3,29,368,1072,3.5272806894,2.5650262776,4.0604430105,2002,3700,0.4544597603,0.5455402397,1
Jump Shot,Jump Shot,232,20200806,34.0523,161,-8,-118.1088,0,2,0,32,16,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/23/2003,LAL vs. SEA,SEA,4413,15404,72,91.14,4409,26,4,1,6,5,1,29,32,1408,3.527897578,2.7726512203,3.6109179126,2002,3702,0.5643450934,0.4356549066,0
Jump Shot,Jump Shot,250,20200806,33.9173,-110,127,-118.3798,11,3,0,30,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/23/2003,LAL vs. SEA,SEA,4415,15404,72,91.14,4411,26,4,1,3,5,1,29,690,1470,3.5239252087,2.7726512203,5.1474944768,2002,3704,0.4940575738,0.5059424262,1
Driving Layup Shot,Layup,268,20200806,34.0443,0,0,-118.2698,9,3,0,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/23/2003,LAL vs. SEA,SEA,4417,15404,72,91.14,4413,12,5,1,2,6,5,29,541,1619,3.5276626177,-6.907755279,3.8066624898,2002,3706,0.3073328738,0.6926671262,1
Jump Shot,Jump Shot,313,20200806,33.8013,90,243,-118.1798,5,3,0,17,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/23/2003,LAL vs. SEA,SEA,4419,15404,72,91.14,4415,26,4,2,5,1,2,29,317,1843,3.5204992633,3.2189158241,5.6629604801,2002,3708,0.6018907968,0.3981092032,0
Jump Shot,Jump Shot,329,20200806,33.8993,44,145,-118.2258,4,3,0,9,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/23/2003,LAL vs. SEA,SEA,4421,15404,72,91.14,4417,26,4,1,2,5,3,29,249,1911,3.5233943652,2.7081168655,5.2470240722,2002,3710,0.5084685649,0.4915314351,0
Jump Shot,Jump Shot,366,20200806,33.7863,67,258,-118.2028,1,3,0,27,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/23/2003,LAL vs. SEA,SEA,4423,15404,72,91.14,4419,26,4,2,2,1,2,29,87,2073,3.5200553949,3.2581349988,5.7137328055,2002,3712,0.6191180086,0.3808819914,0
Reverse Layup Shot,Layup,396,20200806,34.0443,0,0,-118.2698,11,4,0,48,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/23/2003,LAL vs. SEA,SEA,4426,15404,72,91.14,4421,34,5,1,2,6,5,29,708,2172,3.5276626177,-6.907755279,3.8066624898,2002,3714,0.2498672847,0.7501327153,1
Jump Shot,Jump Shot,470,20200806,33.9933,113,51,-118.1568,3,4,0,43,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/23/2003,LAL vs. SEA,SEA,4428,15404,72,91.14,4423,26,4,1,6,5,3,29,223,2657,3.5261634464,2.4849899796,4.5643481915,2002,3716,0.4791322697,0.5208677303,1
Jump Shot,Jump Shot,488,20200806,33.9303,-15,114,-118.2848,2,4,0,8,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2/23/2003,LAL vs. SEA,SEA,4430,15404,72,91.14,4425,26,4,1,2,3,3,29,128,2752,3.5243084205,2.3979861778,5.0689042022,2002,3718,0.5050133547,0.4949866453,0
Jump Shot,Jump Shot,500,20200806,33.8933,-105,151,-118.3748,1,4,0,21,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/23/2003,LAL vs. SEA,SEA,4432,15404,72,91.14,4427,26,4,1,3,5,1,29,81,2799,3.5232173547,2.8904273119,5.2781146592,2002,3720,0.5450422714,0.4549577286,0
Jump Shot,Jump Shot,17,20200820,33.9703,1,74,-118.2688,10,1,0,12,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2/25/2003,LAL vs. LAC,LAC,4435,15070,71,95.99,4434,26,4,1,2,3,5,13,612,108,3.5254866135,1.946052996,4.7791234931,2002,3722,0.4647721063,0.5352278937,1
Layup Shot,Layup,27,20200820,34.0443,0,0,-118.2698,9,1,0,42,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/25/2003,LAL vs. LAC,LAC,4437,15070,71,95.99,4436,27,5,1,2,6,5,13,582,138,3.5276626177,-6.907755279,3.8066624898,2002,3724,0.2888773186,0.7111226814,1
Jump Shot,Jump Shot,161,20200820,34.0723,159,-28,-118.1108,8,2,0,29,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/25/2003,LAL vs. LAC,LAC,4439,15070,71,95.99,4438,26,4,1,6,5,1,13,509,931,3.5284847375,2.7726512203,2.8332133441,2002,3726,0.6164147129,0.3835852871,0
Jump Shot,Jump Shot,169,20200820,33.7913,1,253,-118.2688,6,2,0,36,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/25/2003,LAL vs. LAC,LAC,4441,15070,71,95.99,4440,26,4,2,2,1,2,13,396,1044,3.5202033729,3.2189158241,5.6970934865,2002,3728,0.6211688612,0.3788311388,0
Jump Shot,Jump Shot,184,20200820,33.9273,-6,117,-118.2758,4,2,0,12,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2/25/2003,LAL vs. LAC,LAC,4443,15070,71,95.99,4442,26,4,1,2,3,3,13,252,1188,3.52422,2.3979861778,5.0875963352,2002,3730,0.5218469413,0.4781530587,0
Jump Shot,Jump Shot,202,20200820,33.8533,-158,191,-118.4278,2,2,0,0,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/25/2003,LAL vs. LAC,LAC,4445,15070,71,95.99,4444,26,4,2,3,1,2,13,120,1320,3.5220364835,3.1780954961,5.463831805,2002,3732,0.6355202309,0.3644797691,0
Jump Shot,Jump Shot,241,20200820,33.8173,-97,227,-118.3668,10,3,0,17,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/25/2003,LAL vs. LAC,LAC,4447,15070,71,95.99,4446,26,4,2,3,1,2,13,617,1543,3.5209725059,3.1780954961,5.6058020663,2002,3734,0.6089305613,0.3910694387,0
Jump Shot,Jump Shot,287,20200820,33.9763,-200,68,-118.4698,5,3,0,4,21,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/25/2003,LAL vs. LAC,LAC,4449,15070,71,95.99,4448,26,4,1,4,5,1,13,304,1856,3.5256632227,3.0445700556,4.7273878187,2002,3736,0.5618095225,0.4381904775,0
Jump Shot,Jump Shot,333,20200820,34.0653,197,-21,-118.0728,1,3,0,6,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/25/2003,LAL vs. LAC,LAC,4451,15070,71,95.99,4450,26,4,1,6,5,1,13,66,2094,3.5282792709,2.9444916094,3.1780538303,2002,3738,0.6306648485,0.3693351515,0
Jump Shot,Jump Shot,378,20200820,33.9683,0,76,-118.2698,8,4,0,41,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2/25/2003,LAL vs. LAC,LAC,4454,15070,71,95.99,4452,26,4,1,2,3,5,13,521,2359,3.5254277368,1.946052996,4.7957905456,2002,3740,0.4568786695,0.5431213305,1
Layup Shot,Layup,417,20200820,34.0443,0,0,-118.2698,5,4,0,8,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/25/2003,LAL vs. LAC,LAC,4456,15070,71,95.99,4454,27,5,1,2,6,5,13,308,2572,3.5276626177,-6.907755279,3.8066624898,2002,3742,0.3170520565,0.6829479435,1
Jump Shot,Jump Shot,428,20200820,34.0733,163,-29,-118.1068,4,4,0,3,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/25/2003,LAL vs. LAC,LAC,4458,15070,71,95.99,4456,26,4,1,6,5,1,13,243,2637,3.5285140864,2.7726512203,2.7725887222,2002,3744,0.6477624633,0.3522375367,0
Turnaround Jump Sho,Jump Shot,25,20200833,34.0083,126,36,-118.1438,8,1,0,54,13,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/27/2003,LAL vs. DET,DET,4461,15399,71,94.68,4460,55,4,1,6,5,3,9,534,186,3.5266046125,2.5650262776,4.3944491547,2002,3746,0.4394915913,0.5605084087,1
Slam Dunk Shot,Dunk,77,20200833,34.0443,0,0,-118.2698,2,1,0,51,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/27/2003,LAL vs. DET,DET,4463,15399,71,94.68,4462,47,2,1,2,6,5,9,171,549,3.5276626177,-6.907755279,3.8066624898,2002,3748,0.2809896002,0.7190103998,1
Jump Shot,Jump Shot,107,20200833,33.9033,-107,141,-118.3768,11,2,0,29,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/27/2003,LAL vs. DET,DET,4465,15399,71,94.68,4464,26,4,1,3,5,1,9,689,751,3.5235123548,2.8332721659,5.2257466737,2002,3750,0.5294532201,0.4705467799,0
Jump Shot,Jump Shot,123,20200833,34.0323,161,12,-118.1088,9,2,0,45,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/27/2003,LAL vs. DET,DET,4467,15399,71,94.68,4466,26,4,1,6,5,1,9,585,855,3.5273100737,2.7726512203,4.0430512678,2002,3752,0.5293015673,0.4706984327,0
Jump Shot,Jump Shot,219,20200833,34.0553,140,-11,-118.1298,0,2,0,8,14,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/27/2003,LAL vs. DET,DET,4469,15399,71,94.68,4468,26,4,1,6,5,3,9,8,1432,3.5279856739,2.6391287556,3.5263605246,2002,3754,0.5902448024,0.4097551976,0
Running Jump Shot,Jump Shot,256,20200833,33.9633,-105,81,-118.3748,7,3,0,6,13,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/27/2003,LAL vs. DET,DET,4472,15399,71,94.68,4470,41,4,1,4,5,3,9,426,1734,3.5252805299,2.5650262776,4.836281907,2002,3756,0.4954740179,0.5045259821,1
Driving Dunk Shot,Dunk,303,20200833,34.0443,0,0,-118.2698,1,3,0,39,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/27/2003,LAL vs. DET,DET,4474,15399,71,94.68,4472,5,2,1,2,6,5,9,99,2061,3.5276626177,-6.907755279,3.8066624898,2002,3758,0.3540268368,0.6459731632,1
Jump Shot,Jump Shot,335,20200833,33.8583,-87,186,-118.3568,10,4,0,18,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/27/2003,LAL vs. DET,DET,4476,15399,71,94.68,4474,26,4,1,3,5,1,9,618,2262,3.5221841687,2.9957822723,5.4424177105,2002,3760,0.5553839906,0.4446160094,0
Slam Dunk Shot,Dunk,346,20200833,34.0443,0,0,-118.2698,8,4,0,42,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/27/2003,LAL vs. DET,DET,4478,15399,71,94.68,4476,47,2,1,2,6,5,9,522,2358,3.5276626177,-6.907755279,3.8066624898,2002,3762,0.2667168212,0.7332831788,1
Turnaround Jump Sho,Jump Shot,399,20200833,33.9343,125,110,-118.1448,1,4,0,28,16,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/27/2003,LAL vs. DET,DET,4481,15399,71,94.68,4478,55,4,1,5,5,1,9,88,2792,3.5244263023,2.7726512203,5.0434251169,2002,3764,0.4997519944,0.5002480056,1
Hook Shot,Hook Shot,16,20200842,33.8523,79,192,-118.1908,9,1,0,41,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/28/2003,LAL @ SEA,SEA,4483,14932,70,92.43,4483,23,3,1,5,5,1,29,581,139,3.5220069439,2.9957822723,5.4680601411,2002,3766,0.5384478021,0.4615521979,0
Jump Shot,Jump Shot,70,20200842,33.8683,54,176,-118.2158,4,1,0,10,18,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/28/2003,LAL @ SEA,SEA,4485,14932,70,92.43,4485,26,4,1,2,5,1,29,250,470,3.5224794737,2.8904273119,5.3981627015,2002,3768,0.5615434128,0.4384565872,0
Jump Shot,Jump Shot,117,20200842,33.8843,210,160,-118.0598,10,2,0,41,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/28/2003,LAL @ SEA,SEA,4487,14932,70,92.43,4487,26,4,2,5,1,2,29,641,799,3.5229517803,3.2581349988,5.3230099791,2002,3770,0.5582812745,0.4417187255,0
Jump Shot,Jump Shot,133,20200842,33.8723,-192,172,-118.4618,11,2,0,29,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/28/2003,LAL @ SEA,SEA,4489,14932,70,92.43,4489,26,4,2,3,1,2,29,689,751,3.5225975712,3.2189158241,5.3798973535,2002,3772,0.5792707607,0.4207292393,0
Jump Shot,Jump Shot,181,20200842,33.8813,94,163,-118.1758,3,2,0,52,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/28/2003,LAL @ SEA,SEA,4491,14932,70,92.43,4491,26,4,1,5,5,1,29,232,1208,3.5228632398,2.8904273119,5.3375380797,2002,3774,0.5374577076,0.4625422924,0
Jump Shot,Jump Shot,217,20200842,34.0263,172,18,-118.0978,1,2,0,27,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/28/2003,LAL @ SEA,SEA,4493,14932,70,92.43,4493,26,4,1,6,5,1,29,87,1353,3.527133755,2.8332721659,4.1431347264,2002,3776,0.5560346635,0.4439653365,0
Driving Layup Shot,Layup,255,20200842,34.0443,0,0,-118.2698,10,3,0,43,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/28/2003,LAL @ SEA,SEA,4495,14932,70,92.43,4495,12,5,1,2,6,5,29,643,1517,3.5276626177,-6.907755279,3.8066624898,2002,3778,0.3029201825,0.6970798175,1
Jump Shot,Jump Shot,272,20200842,33.7863,-15,258,-118.2848,8,3,0,32,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/28/2003,LAL @ SEA,SEA,4498,14932,70,92.43,4497,26,4,2,2,1,2,29,512,1648,3.5200553949,3.2189158241,5.7137328055,2002,3780,0.6136121278,0.3863878722,0
Jump Shot,Jump Shot,318,20200842,33.8883,52,156,-118.2178,3,3,0,23,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/28/2003,LAL @ SEA,SEA,4500,14932,70,92.43,4499,26,4,1,5,5,1,29,203,1957,3.5230698221,2.7726512203,5.3033049081,2002,3782,0.5497316018,0.4502683982,0
Jump Shot,Jump Shot,341,20200842,34.0063,189,38,-118.0808,1,3,0,3,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/28/2003,LAL @ SEA,SEA,4502,14932,70,92.43,4501,26,4,1,6,5,1,29,63,2097,3.5265458016,2.9444916094,4.4188406078,2002,3784,0.5603506639,0.4396493361,0
Jump Shot,Jump Shot,405,20200842,33.7993,5,245,-118.2648,6,4,0,42,24,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/28/2003,LAL @ SEA,SEA,4505,14932,70,92.43,4503,26,4,2,2,1,2,29,402,2478,3.5204400922,3.1780954961,5.669880923,2002,3786,0.6087374886,0.3912625114,0
Jump Shot,Jump Shot,415,20200842,33.9063,218,138,-118.0518,5,4,0,41,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/28/2003,LAL @ SEA,SEA,4507,14932,70,92.43,4505,26,4,2,5,1,2,29,341,2539,3.5236008378,3.2189158241,5.2094861528,2002,3788,0.5699589986,0.4300410014,0
Layup Shot,Layup,50,20200880,34.0443,0,0,-118.2698,6,1,0,40,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,3/5/2003,LAL vs. IND,IND,4509,15382,71,95.31,4509,27,5,1,2,6,5,12,400,320,3.5276626177,-6.907755279,3.8066624898,2002,3790,0.3000499619,0.6999500381,1
Jump Shot,Jump Shot,76,20200880,33.9043,69,140,-118.2008,4,1,0,31,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/5/2003,LAL vs. IND,IND,4511,15382,71,95.31,4511,26,4,1,2,5,3,12,271,449,3.52354185,2.7081168655,5.2203558251,2002,3792,0.5218600395,0.4781399605,0
Jump Shot,Jump Shot,88,20200880,33.9293,-187,115,-118.4568,1,1,0,51,21,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/5/2003,LAL vs. IND,IND,4514,15382,71,95.31,4513,26,4,1,4,5,1,12,111,609,3.5242789479,3.0445700556,5.0751738152,2002,3794,0.5552505061,0.4447494939,0
Jump Shot,Jump Shot,122,20200880,34.0443,-123,0,-118.3928,10,2,0,32,12,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/5/2003,LAL vs. IND,IND,4516,15382,71,95.31,4515,26,4,1,4,5,3,12,632,808,3.5276626177,2.4849899796,3.8066624898,2002,3796,0.526844727,0.473155273,0
Jump Shot,Jump Shot,261,20200880,34.0093,-38,35,-118.3078,0,2,0,26,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,3/5/2003,LAL vs. IND,IND,4520,15382,71,95.31,4517,26,4,1,2,3,5,12,26,1414,3.5266340166,1.6096378924,4.3820266347,2002,3798,0.4972584886,0.5027415114,1
Running Jump Shot,Jump Shot,341,20200880,33.9733,-39,71,-118.3088,5,3,0,14,8,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,3/5/2003,LAL vs. IND,IND,4523,15382,71,95.31,4519,41,4,1,2,3,3,12,314,1846,3.525574922,2.0795665339,4.7535901911,2002,3800,0.4818351294,0.5181648706,1
Jump Shot,Jump Shot,360,20200880,34.0113,-156,33,-118.4258,2,3,0,54,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/5/2003,LAL vs. IND,IND,4526,15382,71,95.31,4521,26,4,1,4,5,3,12,174,1986,3.5266928223,2.7081168655,4.3567088267,2002,3802,0.5261637434,0.4738362566,0
Driving Layup Shot,Layup,425,20200880,34.0443,0,0,-118.2698,9,4,0,12,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,3/5/2003,LAL vs. IND,IND,4528,15382,71,95.31,4523,12,5,1,2,6,5,12,552,2328,3.5276626177,-6.907755279,3.8066624898,2002,3804,0.325971453,0.674028547,1
Jump Shot,Jump Shot,453,20200880,33.8713,36,173,-118.2338,5,4,0,9,17,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/5/2003,LAL vs. IND,IND,4530,15382,71,95.31,4525,26,4,1,2,5,1,12,309,2571,3.5225680481,2.8332721659,5.3844950628,2002,3806,0.5630163791,0.4369836209,0
Jump Shot,Jump Shot,474,20200880,33.9813,0,63,-118.2698,3,4,0,19,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,3/5/2003,LAL vs. IND,IND,4532,15382,71,95.31,4527,26,4,1,2,3,5,12,199,2681,3.5258103733,1.791926122,4.6821312271,2002,3808,0.4856594598,0.5143405402,1
Jump Shot,Jump Shot,486,20200880,34.0573,-117,-13,-118.3868,2,4,0,18,11,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/5/2003,LAL vs. IND,IND,4534,15382,71,95.31,4529,26,4,1,4,5,3,12,138,2742,3.5280444002,2.3979861778,3.4657359028,2002,3810,0.583132451,0.416867549,0
Running Jump Shot,Jump Shot,24,20200890,33.8803,112,164,-118.1578,8,1,0,20,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/7/2003,LAL vs. MIN,MIN,4536,17028,68,94.73,4536,41,4,1,5,5,1,17,500,220,3.5228337245,2.9444916094,5.342334252,2002,3812,0.5428907197,0.4571092803,0
Jump Shot,Jump Shot,80,20200890,33.8403,158,204,-118.1118,1,1,0,58,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,3/7/2003,LAL vs. MIN,MIN,4539,17028,68,94.73,4538,26,4,2,5,1,2,17,118,602,3.5216523999,3.2189158241,5.5174528965,2002,3814,0.6294089551,0.3705910449,0
Jump Shot,Jump Shot,129,20200890,33.9243,-110,120,-118.3798,9,2,0,36,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/7/2003,LAL vs. MIN,MIN,4541,17028,68,94.73,4540,26,4,1,3,5,1,17,576,864,3.5241315718,2.7726512203,5.1059454739,2002,3816,0.5509561483,0.4490438517,0
Fadeaway Jump Shot,Jump Shot,185,20200890,34.0553,176,-11,-118.0938,4,2,0,50,17,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/7/2003,LAL vs. MIN,MIN,4543,17028,68,94.73,4542,17,4,1,6,5,1,17,290,1150,3.5279856739,2.8332721659,3.5263605246,2002,3818,0.6141724505,0.3858275495,0
Jump Shot,Jump Shot,206,20200890,34.0523,-204,-8,-118.4738,2,2,0,21,20,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/7/2003,LAL vs. MIN,MIN,4545,17028,68,94.73,4544,26,4,1,4,5,1,17,141,1299,3.527897578,2.9957822723,3.6109179126,2002,3820,0.6336105003,0.3663894997,0
Jump Shot,Jump Shot,281,20200890,33.9983,128,46,-118.1418,7,3,0,26,13,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/7/2003,LAL vs. MIN,MIN,4549,17028,68,94.73,4546,26,4,1,6,5,3,17,446,1714,3.5263105234,2.5650262776,4.5108595065,2002,3822,0.5295728084,0.4704271916,0
Jump Shot,Jump Shot,356,20200890,33.8803,-97,164,-118.3668,11,4,0,1,19,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/7/2003,LAL vs. MIN,MIN,4551,17028,68,94.73,4548,26,4,1,3,5,1,17,661,2219,3.5228337245,2.9444916094,5.342334252,2002,3824,0.5760775158,0.4239224842,0
