"action_type","combined_shot_type","game_event_id","game_id","lat","loc_x","loc_y","lon","minutes_remaining","period","playoffs","season","seconds_remaining","shot_distance","shot_made_flag","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","team_id","team_name","game_date","matchup","opponent","shot_id","attendance","arena_temp","avgnoisedb","rannum","action_type_int","combined_shot_type_int","shot_type_int","shot_zone_are_int","shot_zone_basic_int","shot_zone_range_int","opponent_int","time_remaining_period","game_time","log_lat","log_shot_distance","log_loc_y"
"Jump Shot","Jump Shot",206,20500930,33.9123,-182,132,-118.4518,3,2,0,"2005",8,22,NA,"2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/12/2006","LAL vs. SEA","SEA",9185,14963,67,92.07,9199,26,4,1,4,5,1,29,188,1252,3.52377778043725,3.09108790687074,5.16478597392351
"Reverse Dunk Shot","Dunk",433,20500930,34.0443,0,0,-118.2698,3,4,0,"2005",47,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/12/2006","LAL vs. SEA","SEA",9196,14963,67,92.07,9200,33,2,1,2,6,5,29,227,2653,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",16,20500948,33.8803,113,164,-118.1568,10,1,0,"2005",12,19,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/14/2006","LAL @ SAC","SAC",9201,15546,72,95.48,9224,26,4,1,5,5,1,27,612,108,3.52283372452623,2.94449160936039,5.33271879326537
"Jump Shot","Jump Shot",186,20500948,33.8203,131,224,-118.1388,3,2,0,"2005",46,25,NA,"3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","3/14/2006","LAL @ SAC","SAC",9209,15546,72,95.48,9225,26,4,2,5,1,2,27,226,1214,3.52106121392193,3.21891582406822,5.58724865840025
"Fadeaway Jump Shot","Jump Shot",198,20500948,34.0413,110,3,-118.1598,2,2,0,"2005",49,11,NA,"2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","3/14/2006","LAL @ SAC","SAC",9210,15546,72,95.48,9226,17,4,1,6,5,3,27,169,1271,3.52757449334022,2.3979861777573,3.8286413964891
"Jump Shot","Jump Shot",219,20500948,33.9983,-66,46,-118.3358,0,2,0,"2005",0,8,NA,"2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.",1610612747,"Los Angeles Lakers","3/14/2006","LAL @ SAC","SAC",9212,15546,72,95.48,9227,26,4,1,4,3,3,27,0,1440,3.52631052336612,2.07956653386799,4.48863636973214
"Jump Shot","Jump Shot",240,20500948,34.0193,213,25,-118.0568,9,3,0,"2005",25,21,NA,"2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/14/2006","LAL @ SAC","SAC",9214,15546,72,95.48,9228,26,4,1,6,5,1,27,565,1595,3.52692801062434,3.04457005563729,4.21950770517611
"Driving Dunk Shot","Dunk",211,20500959,34.0443,0,0,-118.2698,9,3,0,"2005",53,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/15/2006","LAL vs. MIN","MIN",9240,15186,71,94.45,9249,5,2,1,2,6,5,17,593,1567,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",214,20500959,33.9423,-66,102,-118.3358,9,3,0,"2005",8,12,NA,"2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.",1610612747,"Los Angeles Lakers","3/15/2006","LAL vs. MIN","MIN",9241,15186,71,94.45,9250,26,4,1,4,3,3,17,548,1612,3.52466202415705,2.4849899796493,4.97673374242057
"Jump Shot","Jump Shot",268,20500959,33.8893,87,155,-118.1828,1,3,0,"2005",25,17,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/15/2006","LAL vs. MIN","MIN",9244,15186,71,94.45,9251,26,4,1,5,5,1,17,85,2075,3.52309933034515,2.83327216585559,5.28826703069454
"Jump Shot","Jump Shot",348,20500959,33.7993,115,245,-118.1548,5,4,0,"2005",4,27,NA,"3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","3/15/2006","LAL vs. MIN","MIN",9249,15186,71,94.45,9252,26,4,2,5,1,2,17,304,2576,3.52044009221535,3.29587390235551,5.66296048013595
"Turnaround Jump Shot","Jump Shot",360,20500959,33.8453,-97,199,-118.3668,3,4,0,"2005",46,22,NA,"2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/15/2006","LAL vs. MIN","MIN",9250,15186,71,94.45,9253,55,4,1,3,5,1,17,226,2654,3.52180014185983,3.09108790687074,5.48893772615669
"Jump Shot","Jump Shot",58,20500968,33.9143,125,130,-118.1448,4,1,0,"2005",19,18,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/17/2006","LAL @ NJN","NJN",9255,13820,70,93.01,9271,26,4,1,5,5,1,18,259,461,3.52383675435016,2.89042731190857,5.15329159449778
"Turnaround Jump Shot","Jump Shot",77,20500968,33.9933,-154,51,-118.4238,2,1,0,"2005",29,16,NA,"2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/17/2006","LAL @ NJN","NJN",9258,13820,70,93.01,9272,55,4,1,4,5,1,18,149,571,3.52616344637399,2.77265122028674,4.54329478227
"Jump Shot","Jump Shot",187,20500968,33.8253,-143,219,-118.4128,1,2,0,"2005",9,26,NA,"3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","3/17/2006","LAL @ NJN","NJN",9263,13820,70,93.01,9273,26,4,2,3,1,2,18,69,1371,3.52120904319712,3.25813499882032,5.5683445037611
"Turnaround Jump Shot","Jump Shot",240,20500968,33.8143,121,230,-118.1488,7,3,0,"2005",36,25,NA,"3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","3/17/2006","LAL @ NJN","NJN",9266,13820,70,93.01,9274,55,4,2,5,1,2,18,456,1704,3.52088378994024,3.21891582406822,5.60947179518496
"Jump Shot","Jump Shot",312,20500968,34.0443,158,0,-118.1118,0,3,0,"2005",26,15,NA,"2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","3/17/2006","LAL @ NJN","NJN",9269,13820,70,93.01,9275,26,4,1,6,5,3,18,26,2134,3.52766261770137,2.70811686554675,3.76120011569356
"Jump Shot","Jump Shot",339,20500968,33.9123,151,132,-118.1188,9,4,0,"2005",20,20,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/17/2006","LAL @ NJN","NJN",9272,13820,70,93.01,9276,26,4,1,5,5,1,18,560,2320,3.52377778043725,2.99578227230403,5.16478597392351
"Driving Layup Shot","Layup",403,20500968,34.0443,0,0,-118.2698,1,4,0,"2005",21,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/17/2006","LAL @ NJN","NJN",9276,13820,70,93.01,9277,12,5,1,2,6,5,18,81,2799,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",218,20500981,33.9493,176,95,-118.0938,0,2,0,"2005",43,20,NA,"2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/19/2006","LAL @ CLE","CLE",9290,16781,70,101.4,9307,26,4,1,6,5,1,6,43,1397,3.52486823523544,2.99578227230403,4.92725368515721
"Jump Shot","Jump Shot",328,20500981,33.8193,92,225,-118.1778,1,3,0,"2005",16,24,NA,"3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","3/19/2006","LAL @ CLE","CLE",9299,16781,70,101.4,9308,26,4,2,5,1,2,6,76,2084,3.52103164544429,3.17809549614658,5.59098698051086
"Jump Shot","Jump Shot",372,20500981,34.0723,-176,-28,-118.4458,8,4,0,"2005",50,17,NA,"2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/19/2006","LAL @ CLE","CLE",9303,16781,70,101.4,9309,26,4,1,4,5,1,6,530,2350,3.52848473746592,2.83327216585559,2.70805020110221
"Jump Shot","Jump Shot",464,20500981,33.8353,-227,209,-118.4968,0,4,0,"2005",0,30,NA,"3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","3/19/2006","LAL @ CLE","CLE",9310,16781,70,101.4,9310,26,4,2,3,1,2,6,0,2880,3.52150463620318,3.40123071443995,5.52942908751142
"Jump Shot","Jump Shot",7,20500988,33.9443,-154,100,-118.4238,11,1,0,"2005",1,18,NA,"2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/20/2006","LAL @ BOS","BOS",9311,14365,69,97.39,9342,26,4,1,4,5,1,3,661,59,3.52472094594723,2.89042731190857,4.96284463025991
"Jump Shot","Jump Shot",21,20500988,33.9723,-148,72,-118.4178,9,1,0,"2005",15,16,NA,"2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/20/2006","LAL @ BOS","BOS",9314,14365,69,97.39,9343,26,4,1,4,5,1,3,555,165,3.52554548668061,2.77265122028674,4.74493212836325
"Driving Layup Shot","Layup",30,20500988,34.0443,8,0,-118.2618,8,1,0,"2005",17,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/20/2006","LAL @ BOS","BOS",9315,14365,69,97.39,9344,12,5,1,2,6,5,3,497,223,3.52766261770137,-6.90775527898214,3.76120011569356
"Layup Shot","Layup",182,20500988,34.0293,-21,15,-118.2908,5,2,0,"2005",14,2,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/20/2006","LAL @ BOS","BOS",9325,14365,69,97.39,9345,27,5,1,2,6,5,3,314,1126,3.52722191821603,0.693647055601596,4.06044301054642
"Turnaround Jump Shot","Jump Shot",222,20500988,33.9753,-159,69,-118.4288,1,2,0,"2005",40,17,NA,"2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/20/2006","LAL @ BOS","BOS",9328,14365,69,97.39,9346,55,4,1,4,5,1,3,100,1340,3.5256337900203,2.83327216585559,4.71849887129509
"Layup Shot","Layup",228,20500988,34.0393,20,5,-118.2498,1,2,0,"2005",11,2,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/20/2006","LAL @ BOS","BOS",9329,14365,69,97.39,9347,27,5,1,2,6,5,3,71,1369,3.52751573945143,0.693647055601596,3.87120101090789
"Driving Dunk Shot","Dunk",265,20500988,34.0493,1,-5,-118.2688,9,3,0,"2005",35,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/20/2006","LAL @ BOS","BOS",9332,14365,69,97.39,9348,5,2,1,2,6,5,3,575,1585,3.52780947438127,-6.90775527898214,3.63758615972639
"Layup Shot","Layup",296,20500988,34.0373,-5,7,-118.2748,6,3,0,"2005",15,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/20/2006","LAL @ BOS","BOS",9337,14365,69,97.39,9349,27,5,1,2,6,5,3,375,1785,3.52745698211042,-6.90775527898214,3.91202300542815
"Running Jump Shot","Jump Shot",76,20501010,33.9213,26,123,-118.2438,1,1,0,"2005",20,12,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.",1610612747,"Los Angeles Lakers","3/22/2006","LAL vs. SAC","SAC",9353,13555,70,90.36,9364,41,4,1,2,3,3,27,80,640,3.524043135661,2.4849899796493,5.11198778835654
"Jump Shot","Jump Shot",107,20501010,34.0493,-179,-5,-118.4488,10,2,0,"2005",46,17,NA,"2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/22/2006","LAL vs. SAC","SAC",9355,13555,70,90.36,9365,26,4,1,4,5,1,27,646,794,3.52780947438127,2.83327216585559,3.63758615972639
"Layup Shot","Layup",172,20501010,34.0443,0,0,-118.2698,4,2,0,"2005",38,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/22/2006","LAL vs. SAC","SAC",9356,13555,70,90.36,9366,27,5,1,2,6,5,27,278,1162,3.52766261770137,-6.90775527898214,3.76120011569356
"Running Jump Shot","Jump Shot",288,20501010,33.9703,-23,74,-118.2928,4,3,0,"2005",40,7,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/22/2006","LAL vs. SAC","SAC",9362,13555,70,90.36,9367,41,4,1,2,3,5,27,280,1880,3.52548661345525,1.94605299599506,4.76217393479776
"Layup Shot","Layup",425,20501010,34.0443,0,0,-118.2698,4,4,0,"2005",12,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/22/2006","LAL vs. SAC","SAC",9364,13555,70,90.36,9368,27,5,1,2,6,5,27,252,2628,3.52766261770137,-6.90775527898214,3.76120011569356
"Layup Shot","Layup",438,20501010,34.0443,0,0,-118.2698,2,4,0,"2005",28,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/22/2006","LAL vs. SAC","SAC",9366,13555,70,90.36,9369,27,5,1,2,6,5,27,148,2732,3.52766261770137,-6.90775527898214,3.76120011569356
"Alley Oop Dunk Shot","Dunk",262,20501026,34.0443,0,0,-118.2698,7,3,0,"2005",50,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/24/2006","LAL vs. MIL","MIL",9387,14861,73,93.33,9394,1,2,1,2,6,5,16,470,1690,3.52766261770137,-6.90775527898214,3.76120011569356
"Slam Dunk Shot","Dunk",283,20501026,34.0443,0,0,-118.2698,5,3,0,"2005",12,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/24/2006","LAL vs. MIL","MIL",9388,14861,73,93.33,9395,47,2,1,2,6,5,16,312,1848,3.52766261770137,-6.90775527898214,3.76120011569356
"Layup Shot","Layup",8,20501042,34.0443,0,0,-118.2698,10,1,0,"2005",34,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/26/2006","LAL vs. NOK","NOP",9396,15429,70,93.87,9411,27,5,1,2,6,5,20,634,86,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",89,20501042,33.7693,-15,275,-118.2848,2,1,0,"2005",5,27,NA,"3PT Field Goal","Center(C)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","3/26/2006","LAL vs. NOK","NOP",9400,15429,70,93.87,9412,26,4,2,2,1,2,20,125,595,3.51955210572543,3.29587390235551,5.76205138278018
"Jump Shot","Jump Shot",216,20501042,33.9113,135,133,-118.1348,0,2,0,"2005",47,18,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/26/2006","LAL vs. NOK","NOP",9406,15429,70,93.87,9413,26,4,1,5,5,1,20,47,1393,3.52374829217653,2.89042731190857,5.17048399503815
"Jump Shot","Jump Shot",314,20501042,33.9193,-125,125,-118.3948,2,3,0,"2005",41,17,NA,"2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/26/2006","LAL vs. NOK","NOP",9411,15429,70,93.87,9414,26,4,1,3,5,1,20,161,1999,3.52398417391831,2.83327216585559,5.12396397940326
"Fadeaway Jump Shot","Jump Shot",32,20501066,33.8803,-31,164,-118.3008,8,1,0,"2005",12,16,NA,"2PT Field Goal","Center(C)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/30/2006","LAL vs. SAS","SAS",9416,15641,70,100.06,9432,17,4,1,2,5,1,28,492,228,3.52283372452623,2.77265122028674,5.33271879326537
"Driving Layup Shot","Layup",53,20501066,34.0443,0,0,-118.2698,5,1,0,"2005",46,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/30/2006","LAL vs. SAS","SAS",9417,15641,70,100.06,9433,12,5,1,2,6,5,28,346,374,3.52766261770137,-6.90775527898214,3.76120011569356
"Driving Layup Shot","Layup",108,20501066,34.0443,0,0,-118.2698,11,2,0,"2005",6,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/30/2006","LAL vs. SAS","SAS",9423,15641,70,100.06,9434,12,5,1,2,6,5,28,666,774,3.52766261770137,-6.90775527898214,3.76120011569356
"Tip Shot","Tip Shot",128,20501066,34.0443,0,0,-118.2698,9,2,0,"2005",33,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/30/2006","LAL vs. SAS","SAS",9425,15641,70,100.06,9435,50,6,1,2,6,5,28,573,867,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",160,20501066,33.8293,0,215,-118.2698,6,2,0,"2005",47,21,NA,"2PT Field Goal","Center(C)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/30/2006","LAL vs. SAS","SAS",9426,15641,70,100.06,9436,26,4,1,2,5,1,28,407,1033,3.52132729088478,3.04457005563729,5.55295958492162
"Jump Shot","Jump Shot",167,20501066,34.0343,133,10,-118.1368,5,2,0,"2005",49,13,NA,"2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","3/30/2006","LAL vs. SAS","SAS",9427,15641,70,100.06,9437,26,4,1,6,5,3,28,349,1091,3.52736883962509,2.56502627758003,3.97029191355212
"Driving Layup Shot","Layup",205,20501066,34.0443,0,0,-118.2698,0,2,0,"2005",49,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/30/2006","LAL vs. SAS","SAS",9429,15641,70,100.06,9438,12,5,1,2,6,5,28,49,1391,3.52766261770137,-6.90775527898214,3.76120011569356
"Running Jump Shot","Jump Shot",227,20501066,33.9813,46,63,-118.2238,11,3,0,"2005",16,7,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.",1610612747,"Los Angeles Lakers","3/30/2006","LAL vs. SAS","SAS",9430,15641,70,100.06,9439,41,4,1,2,3,5,28,676,1484,3.52581037331068,1.94605299599506,4.66343909411207
"Jump Shot","Jump Shot",279,20501066,33.9603,0,84,-118.2698,6,3,0,"2005",3,8,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.",1610612747,"Los Angeles Lakers","3/30/2006","LAL vs. SAS","SAS",9434,15641,70,100.06,9440,26,4,1,2,3,3,28,363,1797,3.52519219532639,2.07956653386799,4.84418708645859
"Jump Shot","Jump Shot",23,20501078,33.8913,100,153,-118.1698,9,1,0,"2005",38,18,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/31/2006","LAL @ SEA","SEA",9442,15955,68,94.38,9476,26,4,1,5,5,1,29,578,142,3.52315834428131,2.89042731190857,5.27811465923052
"Jump Shot","Jump Shot",204,20501078,33.9553,-97,89,-118.3668,4,2,0,"2005",4,13,NA,"2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","3/31/2006","LAL @ SEA","SEA",9458,15955,68,94.38,9477,26,4,1,4,5,3,29,244,1196,3.52504495374981,2.56502627758003,4.88280192258637
"Jump Shot","Jump Shot",485,20501078,33.8893,141,155,-118.1288,2,4,0,"2005",53,20,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","3/31/2006","LAL @ SEA","SEA",9476,15955,68,94.38,9478,26,4,1,5,5,1,29,173,2707,3.52309933034515,2.99578227230403,5.28826703069454
"Jump Shot","Jump Shot",25,20501089,33.9243,136,120,-118.1338,8,1,0,"2005",34,18,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","4/2/2006","LAL vs. HOU","HOU",9481,16366,71,93.6,9502,26,4,1,5,5,1,11,514,206,3.52413157175713,2.89042731190857,5.09375020080676
"Jump Shot","Jump Shot",33,20501089,33.8963,148,148,-118.1218,6,1,0,"2005",54,20,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","4/2/2006","LAL vs. HOU","HOU",9483,16366,71,93.6,9503,26,4,1,5,5,1,11,414,306,3.52330586388693,2.99578227230403,5.25227342804663
"Jump Shot","Jump Shot",68,20501089,33.8703,105,174,-118.1648,3,1,0,"2005",4,20,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","4/2/2006","LAL vs. HOU","HOU",9484,16366,71,93.6,9504,26,4,1,5,5,1,11,184,536,3.52253852418638,2.99578227230403,5.37989735354046
"Driving Layup Shot","Layup",87,20501089,34.0443,0,0,-118.2698,0,1,0,"2005",6,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","4/2/2006","LAL vs. HOU","HOU",9487,16366,71,93.6,9505,12,5,1,2,6,5,11,6,714,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",148,20501089,34.0313,187,13,-118.0828,5,2,0,"2005",36,18,NA,"2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","4/2/2006","LAL vs. HOU","HOU",9488,16366,71,93.6,9506,26,4,1,6,5,1,11,336,1104,3.52728068936999,2.89042731190857,4.02535169073515
"Jump Shot","Jump Shot",169,20501089,33.7993,130,245,-118.1398,3,2,0,"2005",9,27,NA,"3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","4/2/2006","LAL vs. HOU","HOU",9490,16366,71,93.6,9507,26,4,2,5,1,2,11,189,1251,3.52044009221535,3.29587390235551,5.66296048013595
"Alley Oop Dunk Shot","Dunk",267,20501089,34.0443,0,0,-118.2698,3,3,0,"2005",30,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","4/2/2006","LAL vs. HOU","HOU",9502,16366,71,93.6,9508,1,2,1,2,6,5,11,210,1950,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",302,20501089,33.7963,67,248,-118.2028,0,3,0,"2005",15,25,NA,"3PT Field Goal","Center(C)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","4/2/2006","LAL vs. HOU","HOU",9505,16366,71,93.6,9509,26,4,2,2,1,2,11,15,2145,3.52035132904135,3.21891582406822,5.67332326717149
"Layup Shot","Layup",368,20501089,34.0443,0,0,-118.2698,5,4,0,"2005",10,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","4/2/2006","LAL vs. HOU","HOU",9509,16366,71,93.6,9510,27,5,1,2,6,5,11,310,2570,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",71,20501120,33.8603,-67,184,-118.3368,4,1,0,"2005",37,19,NA,"2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","4/6/2006","LAL @ DEN","DEN",9515,14830,71,92.08,9538,26,4,1,3,5,1,8,277,443,3.52224323667755,2.94449160936039,5.4249500174814
"Jump Shot","Jump Shot",76,20501120,33.9123,174,132,-118.0958,4,1,0,"2005",2,21,NA,"2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.",1610612747,"Los Angeles Lakers","4/6/2006","LAL @ DEN","DEN",9516,14830,71,92.08,9539,26,4,1,5,5,1,8,242,478,3.52377778043725,3.04457005563729,5.16478597392351
"Jump Shot","Jump Shot",389,20501120,33.9123,-15,132,-118.2848,0,3,0,"2005",2,13,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.",1610612747,"Los Angeles Lakers","4/6/2006","LAL @ DEN","DEN",9532,14830,71,92.08,9540,26,4,1,2,3,3,8,2,2158,3.52377778043725,2.56502627758003,5.16478597392351
"Running Jump Shot","Jump Shot",523,20501120,33.9403,-31,104,-118.3008,3,5,0,"2005",32,10,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.",1610612747,"Los Angeles Lakers","4/6/2006","LAL @ DEN","DEN",9539,14830,71,92.08,9541,41,4,1,2,3,3,8,212,3388,3.52460309889489,2.30268508799438,4.99043258677874
"Layup Shot","Layup",565,20501120,34.0443,0,0,-118.2698,0,5,0,"2005",14,0,NA,"2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.",1610612747,"Los Angeles Lakers","4/6/2006","LAL @ DEN","DEN",9542,14830,71,92.08,9542,27,5,1,2,6,5,8,14,3586,3.52766261770137,-6.90775527898214,3.76120011569356
"Jump Shot","Jump Shot",73,20501130,33.8603,-171,184,-118.4408,3,1,0,"2005",7,25,NA,"3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.",1610612747,"Los Angeles Lakers","4/7/2006","LAL @ PHX","PHX",9549,15383,74,97.44,9569,26,4,2,3,1,2,25,187,533,3.52224323667755,3.21891582406822,5.4249500174814
"Turnaround Jump Shot","Jump Shot",85,20501130,33.9523,-110,92,-118.3798,1,1,0,"2005",47,14,NA,"2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","4/7/2006","LAL @ PHX","PHX",9550,15383,74,97.44,9570,55,4,1,4,5,3,25,107,613,3.52495659839631,2.63912875563579,4.90527477843843
"Jump Shot","Jump Shot",92,20501130,34.0443,-99,0,-118.3688,0,1,0,"2005",40,9,NA,"2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.",1610612747,"Los Angeles Lakers","4/7/2006","LAL @ PHX","PHX",9553,15383,74,97.44,9571,26,4,1,4,5,3,25,40,680,3.52766261770137,2.19733568227495,3.76120011569356
"Jump Shot","Jump Shot",94,20501130,33.9553,77,89,-118.1928,0,1,0,"2005",0,11,NA,"2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.",1610612747,"Los Angeles Lakers","4/7/2006","LAL @ PHX","PHX",9554,15383,74,97.44,9572,26,4,1,6,3,3,25,0,720,3.52504495374981,2.3979861777573,4.88280192258637
"Jump Shot","Jump Shot",198,20501130,33.9403,-33,104,-118.3028,1,2,0,"2005",17,10,NA,"2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.",1610612747,"Los Angeles Lakers","4/7/2006","LAL @ PHX","PHX",9561,15383,74,97.44,9573,26,4,1,2,3,3,25,77,1363,3.52460309889489,2.30268508799438,4.99043258677874
